ClassID,SeatNumber
10,A1-01
10,A1-02
10,A1-03
10,A1-04
10,A1-05
10,A1-06
10,A1-07
10,A1-08
10,A1-09
10,A1-10
10,A1-11
10,A1-12
10,A1-13
10,A1-14
10,A1-15
10,A1-16
10,A1-17
10,A1-18
10,A1-19
10,A1-20
10,A1-21
10,A1-22
10,A1-23
10,A1-24
10,A1-25
10,A1-26
10,A1-27
10,A1-28
10,A1-29
10,A1-30
10,A1-31
10,A1-32
10,A1-33
10,A1-34
10,A1-35
10,A1-36
10,A1-37
10,A1-38
10,A1-39
10,A1-40
10,A1-41
10,A1-42
10,A1-43
10,A1-44
10,A1-45
10,A1-46
10,A1-47
10,A1-48
10,A2-01
10,A2-02
10,A2-03
10,A2-04
10,A2-05
10,A2-06
10,A2-07
10,A2-08
10,A2-09
10,A2-10
10,A2-11
10,A2-12
10,A2-13
10,A2-14
10,A2-15
10,A2-16
10,A2-17
10,A2-18
10,A2-19
10,A2-20
10,A2-21
10,A2-22
10,A2-23
10,A2-24
10,A2-25
10,A2-26
10,A2-27
10,A2-28
10,A2-29
10,A2-30
10,A2-31
10,A2-32
10,A2-33
10,A2-34
10,A2-35
10,A2-36
10,A2-37
10,A2-38
10,A2-39
10,A2-40
10,A2-41
10,A2-42
10,A2-43
10,A2-44
10,A2-45
10,A2-46
10,A2-47
10,A2-48
11,B1-01
11,B1-02
11,B1-03
11,B1-04
11,B1-05
11,B1-06
11,B1-07
11,B1-08
11,B1-09
11,B1-10
11,B1-11
11,B1-12
11,B1-13
11,B1-14
11,B1-15
11,B1-16
11,B1-17
11,B1-18
11,B1-19
11,B1-20
11,B1-21
11,B1-22
11,B1-23
11,B1-24
11,B1-25
11,B1-26
11,B1-27
11,B1-28
11,B1-29
11,B1-30
11,B1-31
11,B1-32
11,B1-33
11,B1-34
11,B1-35
11,B1-36
11,B1-37
11,B1-38
11,B1-39
11,B1-40
11,B1-41
11,B1-42
11,B1-43
11,B1-44
11,B1-45
11,B1-46
11,B1-47
11,B1-48
11,B1-49
11,B1-50
11,B1-51
11,B1-52
11,B1-53
11,B1-54
11,B1-55
11,B1-56
11,B1-57
11,B1-58
11,B1-59
11,B1-60
11,B1-61
11,B1-62
11,B1-63
11,B1-64
11,B1-65
11,B1-66
11,B1-67
11,B1-68
11,B1-69
11,B1-70
11,B1-71
11,B1-72
11,B1-73
11,B1-74
11,B1-75
11,B1-76
11,B1-77
11,B1-78
11,B1-79
