ClassID,SeatNumber
7,H1-01
7,H1-02
7,H1-03
7,H1-04
7,H1-05
7,H1-06
7,H1-07
7,H1-08
7,H1-09
7,H1-10
7,H1-11
7,H1-12
7,H1-13
7,H1-14
7,H1-15
7,H1-16
7,H1-17
7,H1-18
8,A1-01
8,A1-02
8,A1-03
8,A1-04
8,A1-05
8,A1-06
8,A1-07
8,A1-08
8,A1-09
8,A1-10
8,A1-11
8,A1-12
8,A1-13
8,A1-14
8,A1-15
8,A1-16
8,A1-17
8,A1-18
8,A1-19
8,A1-20
8,A1-21
8,A1-22
8,A1-23
8,A1-24
8,A1-25
8,A1-26
8,A1-27
8,A1-28
8,A1-29
8,A1-30
8,A1-31
8,A1-32
8,A1-33
8,A1-34
8,A1-35
8,A1-36
8,A1-37
8,A1-38
8,A1-39
8,A1-40
8,A1-41
8,A1-42
8,A1-43
8,A1-44
8,A1-45
8,A1-46
8,A1-47
8,A1-48
8,A1-49
8,A1-50
8,A1-51
8,A1-52
8,A1-53
8,A1-54
8,A2-01
8,A2-02
8,A2-03
8,A2-04
8,A2-05
8,A2-06
8,A2-07
8,A2-08
8,A2-09
8,A2-10
8,A2-11
8,A2-12
8,A2-13
8,A2-14
8,A2-15
8,A2-16
8,A2-17
8,A2-18
8,A2-19
8,A2-20
8,A2-21
8,A2-22
8,A2-23
8,A2-24
8,A2-25
8,A2-26
8,A2-27
8,A2-28
8,A2-29
8,A2-30
8,A2-31
8,A2-32
8,A2-33
8,A2-34
8,A2-35
8,A2-36
8,A2-37
8,A2-38
8,A2-39
8,A2-40
8,A2-41
8,A2-42
8,A2-43
8,A2-44
8,A2-45
8,A2-46
8,A2-47
8,A2-48
8,A2-49
8,A2-50
8,A2-51
8,A2-52
8,A2-53
8,A2-54
8,A3-01
8,A3-02
8,A3-03
8,A3-04
8,A3-05
8,A3-06
8,A3-07
8,A3-08
8,A3-09
8,A3-10
8,A3-11
8,A3-12
8,A3-13
8,A3-14
8,A3-15
8,A3-16
8,A3-17
8,A3-18
8,A3-19
8,A3-20
8,A3-21
8,A3-22
8,A3-23
8,A3-24
8,A3-25
8,A3-26
8,A3-27
8,A3-28
8,A3-29
8,A3-30
8,A3-31
8,A3-32
8,A3-33
8,A3-34
8,A3-35
8,A3-36
8,A3-37
8,A3-38
8,A3-39
8,A3-40
8,A3-41
8,A3-42
8,A3-43
8,A3-44
8,A3-45
8,A3-46
8,A3-47
8,A3-48
8,A3-49
8,A3-50
8,A3-51
8,A3-52
8,A3-53
8,A3-54
9,B1-01
9,B1-02
9,B1-03
9,B1-04
9,B1-05
9,B1-06
9,B1-07
9,B1-08
9,B1-09
9,B1-10
9,B1-11
9,B1-12
9,B1-13
9,B1-14
9,B1-15
9,B1-16
9,B1-17
9,B1-18
9,B1-19
9,B1-20
9,B1-21
9,B1-22
9,B1-23
9,B1-24
9,B1-25
9,B1-26
9,B1-27
9,B1-28
9,B1-29
9,B1-30
9,B1-31
9,B1-32
9,B1-33
9,B1-34
9,B1-35
9,B1-36
9,B1-37
9,B1-38
9,B1-39
9,B1-40
9,B1-41
9,B1-42
9,B1-43
9,B1-44
9,B1-45
9,B1-46
9,B1-47
9,B1-48
9,B1-49
9,B1-50
9,B1-51
9,B1-52
9,B1-53
9,B1-54
9,B1-55
9,B1-56
9,B1-57
9,B1-58
9,B1-59
9,B1-60
9,B1-61
9,B1-62
9,B1-63
9,B1-64
9,B1-65
9,B1-66
9,B1-67
9,B1-68
9,B1-69
9,B1-70
9,B1-71
9,B1-72
9,B1-73
9,B1-74
9,B1-75
9,B1-76
9,B1-77
9,B1-78
9,B1-79
9,B1-80
9,B1-81
9,B1-82
9,B1-83
9,B1-84
9,B1-85
9,B1-86
9,B1-87
9,B1-88
9,B1-89
9,B1-90
9,B1-91
9,B1-92
9,B1-93
9,B1-94
9,B1-95
9,B1-96
9,B1-97
9,B1-98
9,B1-99
9,B1-100
9,B1-101
9,B1-102
9,B1-103
9,B1-104
9,B1-105
9,B1-106
9,B1-107
9,B1-108
9,B2-01
9,B2-02
9,B2-03
9,B2-04
9,B2-05
9,B2-06
9,B2-07
9,B2-08
9,B2-09
9,B2-10
9,B2-11
9,B2-12
9,B2-13
9,B2-14
9,B2-15
9,B2-16
9,B2-17
9,B2-18
9,B2-19
9,B2-20
9,B2-21
9,B2-22
9,B2-23
9,B2-24
9,B2-25
9,B2-26
9,B2-27
9,B2-28
9,B2-29
9,B2-30
9,B2-31
9,B2-32
9,B2-33
9,B2-34
9,B2-35
9,B2-36
9,B2-37
9,B2-38
9,B2-39
9,B2-40
9,B2-41
9,B2-42
9,B2-43
9,B2-44
9,B2-45
9,B2-46
9,B2-47
9,B2-48
9,B2-49
9,B2-50
9,B2-51
9,B2-52
9,B2-53
9,B2-54
9,B2-55
9,B2-56
9,B2-57
9,B2-58
9,B2-59
9,B2-60
9,B2-61
9,B2-62
9,B2-63
9,B2-64
9,B2-65
9,B2-66
9,B2-67
9,B2-68
9,B2-69
9,B2-70
9,B2-71
9,B2-72
9,B2-73
9,B2-74
9,B2-75
9,B2-76
9,B2-77
9,B2-78
9,B2-79
9,B2-80
9,B2-81
9,B2-82
9,B2-83
9,B2-84
9,B2-85
9,B2-86
9,B2-87
9,B2-88
9,B2-89
9,B2-90
9,B2-91
9,B2-92
9,B2-93
9,B2-94
9,B2-95
9,B2-96
9,B2-97
9,B2-98
9,B2-99
9,B2-100
9,B2-101
9,B2-102
9,B2-103
9,B2-104
9,B2-105
9,B2-106
9,B2-107
9,B2-108
9,B3-01
9,B3-02
9,B3-03
9,B3-04
9,B3-05
9,B3-06
9,B3-07
9,B3-08
9,B3-09
9,B3-10
9,B3-11
9,B3-12
9,B3-13
9,B3-14
9,B3-15
9,B3-16
9,B3-17
9,B3-18
9,B3-19
9,B3-20
9,B3-21
9,B3-22
9,B3-23
9,B3-24
9,B3-25
9,B3-26
9,B3-27
9,B3-28
9,B3-29
9,B3-30
9,B3-31
9,B3-32
9,B3-33
9,B3-34
9,B3-35
9,B3-36
9,B3-37
9,B3-38
9,B3-39
9,B3-40
9,B3-41
9,B3-42
9,B3-43
9,B3-44
9,B3-45
9,B3-46
9,B3-47
9,B3-48
9,B3-49
9,B3-50
9,B3-51
9,B3-52
9,B3-53
9,B3-54
9,B3-55
9,B3-56
9,B3-57
9,B3-58
9,B3-59
9,B3-60
9,B3-61
9,B3-62
9,B3-63
9,B3-64
9,B3-65
9,B3-66
9,B3-67
9,B3-68
9,B3-69
9,B3-70
9,B3-71
9,B3-72
9,B3-73
9,B3-74
9,B3-75
9,B3-76
9,B3-77
9,B3-78
9,B3-79
9,B3-80
9,B3-81
9,B3-82
9,B3-83
9,B3-84
9,B3-85
9,B3-86
9,B3-87
9,B3-88
9,B3-89
9,B3-90
9,B3-91
9,B3-92
9,B3-93
9,B3-94
9,B3-95
9,B3-96
9,B3-97
9,B3-98
9,B3-99
9,B3-100
9,B3-101
9,B3-102
9,B3-103
9,B3-104
9,B3-105
9,B3-106
9,B3-107
9,B3-108
9,B4-01
9,B4-02
9,B4-03
9,B4-04
9,B4-05
9,B4-06
9,B4-07
9,B4-08
9,B4-09
9,B4-10
9,B4-11
9,B4-12
9,B4-13
9,B4-14
9,B4-15
9,B4-16
9,B4-17
9,B4-18
9,B4-19
9,B4-20
9,B4-21
9,B4-22
9,B4-23
9,B4-24
9,B4-25
9,B4-26
9,B4-27
9,B4-28
9,B4-29
9,B4-30
9,B4-31
9,B4-32
9,B4-33
9,B4-34
9,B4-35
9,B4-36
9,B4-37
9,B4-38
9,B4-39
9,B4-40
9,B4-41
9,B4-42
9,B4-43
9,B4-44
9,B4-45
9,B4-46
9,B4-47
9,B4-48
9,B4-49
9,B4-50
9,B4-51
9,B4-52
9,B4-53
9,B4-54
9,B4-55
9,B4-56
9,B4-57
9,B4-58
9,B4-59
9,B4-60
9,B4-61
9,B4-62
9,B4-63
9,B4-64
9,B4-65
9,B4-66
9,B4-67
9,B4-68
9,B4-69
9,B4-70
9,B4-71
9,B4-72
9,B4-73
9,B4-74
9,B4-75
9,B4-76
9,B4-77
9,B4-78
9,B4-79
9,B4-80
9,B4-81
9,B4-82
9,B4-83
9,B4-84
9,B4-85
9,B4-86
9,B4-87
9,B4-88
9,B4-89
9,B4-90
9,B4-91
9,B4-92
9,B4-93
9,B4-94
9,B4-95
9,B4-96
9,B4-97
9,B4-98
9,B4-99
9,B4-100
9,B4-101
9,B4-102
9,B4-103
9,B4-104
9,B4-105
9,B4-106
9,B4-107
9,B4-108
9,B5-01
9,B5-02
9,B5-03
9,B5-04
9,B5-05
9,B5-06
9,B5-07
9,B5-08
9,B5-09
9,B5-10
9,B5-11
9,B5-12
9,B5-13
9,B5-14
9,B5-15
9,B5-16
9,B5-17
9,B5-18
9,B5-19
9,B5-20
9,B5-21
